sample, mag, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63
1, 9.995789298676272, 627.0371372941944, 12.881528842773896, 5.615336609583358, -10.372753083367092, -16.439565846693274, -11.421132207491723, -2.2010491706042137, -1.563091671179607, 0.07593452097970577, 10.103383658716675, 15.482002859702073, 6.80339684080727, -5.807501567447454, -20.538646389706102, -8.53980637623408, 6.08418565929288, 10.235175681978092, 14.917163965561333, 13.615874676124768, 15.116703446200454, 16.45453772609842, 2.1488057772833677, -7.544302092117064, 4.463219467238112, 17.475050270858866, 16.417886524713072, 4.388700885277495, 2.55489906987465, 13.80316962464467, 9.526551903559035, 8.784098936086437, -2.5338522592529316, -15.88950786525129, -2.533852259252936, 8.784098936086433, 9.526551903559033, 13.803169624644669, 2.5548990698746525, 4.388700885277491, 16.417886524713076, 17.475050270858866, 4.463219467238117, -7.5443020921170625, 2.1488057772833655, 16.45453772609842, 15.116703446200459, 13.615874676124774, 14.917163965561334, 10.235175681978092, 6.084185659292881, -8.539806376234075, -20.538646389706102, -5.807501567447453, 6.803396840807272, 15.482002859702074, 10.103383658716679, 0.07593452097970754, -1.5630916711796061, -2.20104917060421, -11.421132207491713, -16.439565846693277, -10.37275308336709, 5.615336609583358, 12.881528842773893
2, 10.082876706371492, 623.7341853116916, 9.848978481331153, 1.533507779168779, -15.46340194042503, -23.138546741229142, -22.118770789710418, -9.755345877345277, -2.920526955675725, -3.9952243435338453, -2.0701015419801134, 3.6949789727983777, 4.3079509408800245, -5.0817134326295195, -3.4598586321054032, -6.946383204608094, -7.937446017211232, -0.22101908315949045, -3.5529959263802646, -17.791061216792635, -12.545780069983579, -5.783674854478816, -2.330342825385883, -2.3695752048083922, -15.986969828985753, -14.470537178199027, -6.683650984854381, 5.869998465025307, 3.9728201319801943, -9.130133107826428, -4.752698170909276, -3.2382845173193675, 6.188034617950493, 19.19245984775415, 6.188034617950494, -3.238284517319362, -4.752698170909277, -9.130133107826422, 3.9728201319801943, 5.869998465025308, -6.68365098485438, -14.470537178199027, -15.986969828985751, -2.369575204808397, -2.3303428253858858, -5.783674854478815, -12.545780069983577, -17.791061216792635, -3.552995926380258, -0.22101908315948962, -7.937446017211231, -6.946383204608097, -3.4598586321054086, -5.081713432629522, 4.307950940880027, 3.694978972798379, -2.0701015419801125, -3.9952243435338444, -2.920526955675726, -9.755345877345277, -22.11877078971041, -23.138546741229145, -15.46340194042503, 1.5335077791687826, 9.848978481331152
3, 9.718058173043062, 628.9690760954593, 15.234212409419463, 5.83000291254262, -10.909922878854726, -18.175533213303545, -19.67318291264516, -6.365893545494404, 4.397473219617222, 1.2785437821475654, -6.105969151199365, -5.165060726788936, 3.0287736066788606, 7.224384445750046, 23.35251906110379, 10.153690614992628, -3.824136172482134, -6.93222369947523, -11.430812007008203, -4.392471498760951, -6.049664608284658, -10.728258626792924, 0.8834677792564674, 10.571835479435663, 15.802805545983114, 2.5907048719040393, -6.828495684433734, -15.1998522090624, -10.876137693766921, 1.5336601226522237, -2.1369808985887504, -4.263327202132464, -11.689354191853202, -24.427350631521904, -11.689354191853202, -4.263327202132466, -2.1369808985887504, 1.5336601226522184, -10.876137693766921, -15.1998522090624, -6.828495684433737, 2.5907048719040366, 15.802805545983112, 10.571835479435673, 0.8834677792564674, -10.728258626792925, -6.0496646082846635, -4.392471498760955, -11.4308120070082, -6.93222369947523, -3.8241361724821314, 10.153690614992627, 23.352519061103784, 7.2243844457500455, 3.028773606678864, -5.165060726788927, -6.105969151199366, 1.2785437821475645, 4.397473219617221, -6.3658935454944015, -19.673182912645157, -18.175533213303545, -10.909922878854726, 5.83000291254262, 15.234212409419463
4, 11.545378968375445, 631.0807074040484, 17.339304987040467, 6.73862042482587, -8.631074194966244, -13.729457352823534, -15.95422413670174, -4.309881717406928, 6.116534781389052, 2.0616163342362217, -9.572356166651513, -13.495818241486797, -5.691917626852972, 6.184213438771457, 12.395698978694277, 6.085224796274456, 2.1598695120267086, -5.0138717006082345, 0.35196008945774615, 13.858068959332776, 10.210164949948929, 7.951751422853595, -4.732891723095217, -15.78526927863366, -10.637913094212044, 4.078687610809336, 10.373444215518411, 12.415783932378606, 8.11379074297099, -0.8894850164511379, 1.5870286508552507, 4.295153959237175, 9.741744884398859, 22.31571932293275, 9.741744884398859, 4.295153959237181, 1.5870286508552525, -0.8894850164511361, 8.113790742970988, 12.415783932378606, 10.373444215518411, 4.078687610809339, -10.637913094212035, -15.785269278633661, -4.732891723095215, 7.951751422853593, 10.210164949948929, 13.858068959332776, 0.3519600894577415, -5.0138717006082345, 2.1598695120267095, 6.085224796274459, 12.39569897869428, 6.184213438771457, -5.691917626852972, -13.495818241486791, -9.572356166651515, 2.061616334236222, 6.11653478138905, -4.3098817174069275, -15.954224136701741, -13.729457352823538, -8.631074194966244, 6.738620424825876, 17.339304987040467
5, 11.894762617231951, 631.3663140041544, 17.450010596681135, 5.556763974025792, -7.4472460296628284, -9.04096128461801, -10.327304906746328, -2.675335915317871, 3.1679630079659757, -0.272654946763331, -7.969752179862067, -11.783645826853412, -10.372073687123802, -4.493526789849749, -18.184680195211953, -9.835265909905749, 2.1639076722023303, 4.820592390886077, 9.222190113259826, -3.182029165008718, -2.0725827944595316, 2.4213233485458576, 1.332406320884127, 4.697510149417659, -4.598382514623115, -10.672425880069518, -11.54147414352869, -7.7959464139620085, -5.798825330091905, -2.2656035210801533, -3.2853423457253492, -6.553670416397683, -10.096179883179776, -22.601325923038758, -10.096179883179776, -6.553670416397685, -3.2853423457253483, -2.2656035210801546, -5.7988253300919075, -7.795946413962004, -11.541474143528689, -10.672425880069518, -4.598382514623121, 4.697510149417653, 1.3324063208841261, 2.4213233485458594, -2.072582794459528, -3.182029165008716, 9.222190113259828, 4.820592390886077, 2.163907672202333, -9.835265909905745, -18.18468019521195, -4.4935267898497475, -10.372073687123805, -11.783645826853416, -7.969752179862072, -0.2726549467633319, 3.1679630079659784, -2.6753359153178686, -10.327304906746331, -9.040961284618014, -7.447246029662827, 5.556763974025795, 17.450010596681135
6, 7.862593741422204, 637.1688812609368, 22.881682774461645, 9.566830153868942, -0.35496197813752756, 2.0992057071078687, 2.5702853868262254, 4.400012432080352, 2.9810408063863703, 1.3702193976587718, 2.8559447464499597, 3.340659568652443, -1.6371010836503739, -7.688470195251095, -21.55437725830336, -9.076337068690101, -1.452524979120067, 4.72826510050217, -3.0141831435980952, -14.034134085152223, -10.976889858291699, -12.31110503708895, 0.4557898693463358, 7.056335418917264, 12.505562766080244, 6.625760556538651, 2.6988643588692325, -4.561863795144156, -3.288590060945103, -0.5707052643934414, -1.1375926951480713, 2.5836538406887417, 4.29315024100824, 16.798758666256333, 4.29315024100824, 2.583653840688748, -1.1375926951480724, -0.5707052643934407, -3.288590060945106, -4.561863795144159, 2.6988643588692316, 6.625760556538651, 12.505562766080246, 7.056335418917268, 0.4557898693463398, -12.311105037088947, -10.976889858291699, -14.034134085152221, -3.014183143598089, 4.728265100502171, -1.4525249791200607, -9.076337068690103, -21.55437725830336, -7.688470195251096, -1.6371010836503734, 3.340659568652445, 2.8559447464499623, 1.3702193976587722, 2.981040806386373, 4.400012432080354, 2.5702853868262188, 2.099205707107868, -0.35496197813752506, 9.56683015386895, 22.88168277446165
7, 10.110132363615369, 634.7709047965427, 19.903995029656976, 5.0547811402254155, -1.329396499097124, 4.90177902759366, 6.943489890779524, 2.195877359431414, -6.215439728167857, -5.287754873522269, 4.26950909266607, 8.36077625696278, 1.895659932666228, -8.111206658968523, -0.8277937772959709, 0.023465609582216995, -8.486262414023471, -10.623159647668501, -14.198831350094629, 3.323131384631805, 3.3389572212515635, 2.1162871223974933, -6.434291011541985, -17.008412889005722, -15.549814644541618, -2.8047563977076693, 3.420067037412753, 11.573325960591145, 7.9116395176099275, -0.26699653506556853, 1.954712163101287, -1.9650161345630823, -1.8649129196390373, -14.400782201862114, -1.8649129196390355, -1.9650161345630863, 1.954712163101287, -0.26699653506557164, 7.9116395176099275, 11.573325960591147, 3.4200670374127538, -2.804756397707669, -15.549814644541616, -17.008412889005726, -6.434291011541986, 2.116287122397491, 3.338957221251562, 3.3231313846318, -14.198831350094629, -10.623159647668501, -8.486262414023468, 0.02346560958221433, -0.8277937772959711, -8.111206658968525, 1.8956599326662253, 8.360776256962776, 4.2695090926660715, -5.287754873522269, -6.215439728167851, 2.1958773594314156, 6.943489890779523, 4.9017790275936575, -1.3293964990971223, 5.054781140225417, 19.903995029656983
8, 14.311384273816556, 635.6185849863143, 19.97619577444385, 3.577848439128668, 1.0198115435909723, 10.139231767705438, 12.82250102922711, 2.354394944480644, -9.536998458429712, -5.850857179439097, 5.496890127579945, 8.81825960291048, 6.221887036156318, 4.202791014461757, 23.71783059404924, 11.64884356093298, 2.269990283812104, -2.330288636107951, 8.112530109792864, 14.970114804497754, 11.190301513708114, 12.764952297175235, 7.6088004929769495, 13.769430988996435, 9.084047039777671, -0.8606599658185905, -6.243648684519805, -12.990717758215037, -9.01590691226509, 2.6788726193393484, -1.0166960330873245, 2.837448172156634, 0.9730935538194512, 13.553102012090392, 0.9730935538194494, 2.837448172156642, -1.0166960330873247, 2.67887261933935, -9.01590691226509, -12.990717758215037, -6.243648684519803, -0.8606599658185905, 9.084047039777664, 13.769430988996433, 7.60880049297695, 12.764952297175238, 11.190301513708114, 14.970114804497756, 8.112530109792859, -2.330288636107952, 2.2699902838121018, 11.648843560932978, 23.71783059404924, 4.202791014461756, 6.2218870361563186, 8.818259602910478, 5.496890127579944, -5.850857179439097, -9.536998458429709, 2.354394944480645, 12.82250102922711, 10.139231767705436, 1.0198115435909756, 3.5778484391286725, 19.976195774443852
9, 11.190502697285481, 635.1488399731923, 18.54085158156209, 0.6550218448119671, 1.9839959605748079, 12.551410390654388, 14.411424443162838, 0.48107945024391796, -9.73975727130326, -4.166446775127445, 1.5591879974124772, 0.32889229169807566, 2.901178102724124, 10.300439817093613, 13.6135994063374, 3.5823647776064447, 8.03753507377176, 9.775479457896779, 11.806860218794535, -9.920217904183772, -10.547023758070955, -12.554075196330517, -1.3654803590023796, 1.1219370794259556, 3.4744206662408033, 3.5063930883954466, 5.7481819788906385, 9.572346669488615, 7.557598455136233, -5.0966070180083385, -0.40703951582692577, -3.9877998631121137, -0.45209989241160464, -13.083356998968213, -0.45209989241160287, -3.9877998631121137, -0.4070395158269271, -5.09660701800834, 7.557598455136231, 9.572346669488613, 5.748181978890637, 3.5063930883954466, 3.47442066624081, 1.1219370794259658, -1.3654803590023743, -12.554075196330517, -10.547023758070953, -9.920217904183769, 11.80686021879454, 9.775479457896779, 8.037535073771766, 3.582364777606446, 13.613599406337402, 10.300439817093613, 2.9011781027241277, 0.3288922916980832, 1.5591879974124794, -4.166446775127445, -9.73975727130326, 0.48107945024391974, 14.41142444316284, 12.551410390654386, 1.9839959605748088, 0.6550218448119716, 18.540851581562094
10, 11.137995792689534, 634.0172678990509, 16.27057062029739, -2.933061092571343, 2.1642180302048346, 12.477059294706406, 12.068769841516993, -2.025511837175061, -5.925841938358987, -0.3717856307562648, -3.766730050226059, -8.611736816423354, -3.5503496251173914, 3.7175354415103903, -15.672924995378942, -10.002087912054524, -0.3355263230147383, 2.8000336492301297, -9.846420987720737, -10.408934020252131, -4.268799691040107, -2.253700226149764, -5.318270125753692, -13.917647904265104, -12.304738576318195, -2.828241394652692, -1.2986987753409478, -1.5169001830946218, -2.846804170266566, 8.253610491025919, 3.3483130686068847, 6.564476888867459, 1.5226205203332936, 14.214929073109545, 1.5226205203332963, 6.5644768888674605, 3.348313068606886, 8.253610491025919, -2.8468041702665623, -1.5169001830946223, -1.2986987753409474, -2.828241394652692, -12.304738576318197, -13.917647904265108, -5.318270125753694, -2.2537002261497654, -4.268799691040107, -10.408934020252136, -9.846420987720732, 2.8000336492301305, -0.3355263230147303, -10.002087912054522, -15.672924995378938, 3.7175354415103907, -3.550349625117388, -8.61173681642335, -3.766730050226057, -0.3717856307562655, -5.925841938358987, -2.02551183717506, 12.068769841516998, 12.477059294706406, 2.164218030204837, -2.9330610925713376, 16.270570620297402
11, 9.60304053283905, 636.6146826274764, 17.560074710264388, -2.729349930163137, 5.77520209266563, 14.034459405140542, 10.298272427828472, -0.558139042810049, 3.7176825555822313, 6.608884135981331, -3.559009957611881, -7.32312317124447, -3.892439657162724, -5.329601714010654, -20.82725758389304, -5.846683330879843, -6.717146497074694, -8.643907383755447, -8.999643253188662, 14.606424082258366, 13.402940417230337, 14.416567163052264, 6.286669971659084, 14.031050467310136, 11.621455980410827, -0.21173324429478058, -4.616623183324701, -8.077933198301485, -3.695427395937666, -11.422202816844592, -7.355230996305481, -10.304818807785662, -4.031812872716298, -16.812343801535064, -4.031812872716299, -10.30481880778566, -7.35523099630548, -11.422202816844592, -3.6954273959376662, -8.077933198301483, -4.6166231833247, -0.21173324429478058, 11.621455980410826, 14.031050467310132, 6.286669971659084, 14.416567163052267, 13.402940417230337, 14.606424082258362, -8.999643253188665, -8.643907383755447, -6.7171464970746895, -5.846683330879847, -20.82725758389304, -5.32960171401065, -3.892439657162722, -7.3231231712444735, -3.559009957611879, 6.608884135981331, 3.7176825555822317, -0.5581390428100459, 10.298272427828477, 14.034459405140542, 5.775202092665635, -2.729349930163134, 17.560074710264395
12, 8.611457982700955, 636.2765116357826, 15.746508347095546, -5.34983923991392, 5.967805437996969, 10.545396307692945, 3.2001061218056015, -1.7812331016783745, 8.814632453828896, 6.881621478160722, -3.5608421149899536, -2.3105741420169914, -2.8762445106389842, -10.523463159876494, 0.8856769181009061, 5.057436628467615, -3.611825940594983, -5.397448377655649, 9.046391404171008, 2.1783492240688354, -6.01178564675776, -11.248264876205454, -3.0467633209823397, -4.082357042771228, -4.82328999842998, 0.7693856933413228, 6.100089718412231, 12.63377632721986, 7.065781633067313, 10.566882835614425, 8.45491610327893, 11.383410721416684, 4.241304540633615, 17.15051479322881, 4.241304540633614, 11.383410721416688, 8.454916103278926, 10.566882835614424, 7.065781633067315, 12.633776327219858, 6.10008971841223, 0.7693856933413228, -4.823289998429977, -4.082357042771223, -3.046763320982339, -11.248264876205456, -6.011785646757762, 2.1783492240688394, 9.046391404171004, -5.3974483776556506, -3.6118259405949837, 5.057436628467613, 0.8856769181009039, -10.523463159876492, -2.8762445106389833, -2.3105741420169945, -3.560842114989952, 6.881621478160722, 8.814632453828896, -1.7812331016783745, 3.200106121805608, 10.545396307692947, 5.967805437996972, -5.349839239913915, 15.746508347095553
13, 14.220856074548525, 632.6495616923471, 10.509980304209225, -10.983825353486376, 2.513861681315646, 2.438198390165369, -7.51430244199417, -5.0814710217512395, 7.4444242747328, 0.896728381217856, -2.9216803842409855, 3.078896308734407, -0.19082627236809424, -3.7745109524441, 20.6267774584838, 7.450585371020183, 5.991772527063919, 8.982078375449191, 7.919914674978882, -14.410619961337764, -8.521662919404159, -4.081373296032288, -1.3662980372141846, -7.141781943348246, -2.8626467374485722, 2.026469453796806, -1.6724018424489464, -9.577399356116853, -5.230643475413983, -4.413814921816624, -5.017523824364481, -8.12911443593934, -0.46229394748638253, -13.523564849793331, -0.4622939474863781, -8.129114435939337, -5.017523824364481, -4.413814921816622, -5.230643475413983, -9.577399356116855, -1.672401842448945, 2.0264694537968055, -2.8626467374485762, -7.141781943348251, -1.366298037214189, -4.0813732960322895, -8.521662919404164, -14.410619961337765, 7.919914674978886, 8.982078375449191, 5.991772527063919, 7.450585371020184, 20.626777458483794, -3.7745109524441003, -0.19082627236809424, 3.0788963087344006, -2.9216803842409904, 0.8967283812178566, 7.4444242747328, -5.08147102175124, -7.514302441994165, 2.4381983901653728, 2.5138616813156465, -10.98382535348637, 10.509980304209233
14, 12.007481760539385, 637.9301523138398, 14.054348483407155, -7.389633721693722, 7.523585950239128, 2.4653864082621837, -8.170137241636088, 1.3486562011305936, 10.403504807221196, 1.7474353408854881, 6.830774456647648, 12.292349326889838, 8.812537877370119, 13.282322033697847, 16.249422444278718, 2.5067796382322123, 8.930957093216355, 9.024398321091155, -7.489604628896405, 6.041153572003193, 13.053277386381453, 15.978168159070972, 5.47259694948132, 12.711090941025295, 8.732356445513716, -3.742237772327572, -3.9695233124474876, 2.5291560384289657, 1.1301345673404826, -3.662895953828454, -0.27823445597552965, 3.010245231588917, -4.9493819799731416, 8.242974228300682, -4.949381979973138, 3.0102452315889168, -0.2782344559755279, -3.662895953828455, 1.1301345673404875, 2.5291560384289666, -3.96952331244749, -3.74223777232757, 8.732356445513721, 12.711090941025297, 5.472596949481321, 15.978168159070973, 13.053277386381456, 6.041153572003191, -7.489604628896396, 9.024398321091155, 8.930957093216367, 2.506779638232214, 16.24942244427872, 13.282322033697849, 8.81253787737012, 12.29234932688984, 6.830774456647651, 1.74743534088549, 10.403504807221195, 1.348656201130591, -8.170137241636084, 2.465386408262186, 7.52358595023913, -7.389633721693719, 14.054348483407166
15, 5.848420169463556, 635.3262105782012, 9.591371937877001, -11.345960956965348, 4.112976548726512, -5.569077400416543, -14.47359529936889, -0.12148472776430319, 1.3461468573613378, -5.547337103344903, 4.655961495173467, 3.8523673127318157, 1.9911492109059399, 7.6632841411464705, -17.22933576667799, -12.261082930537409, -9.77682032170251, -14.26266899694184, -11.477055118112505, 7.280891980140116, -3.581376142206633, -12.431892432427198, -7.846331635112199, -10.815943673383746, -11.845517302515562, -0.1734718049541879, 4.54165143333043, 2.2560743785637136, 0.2531450286797856, 8.307101976653435, 2.761257629027941, -0.502376887304167, 7.624205076317298, -5.639032492662068, 7.624205076317297, -0.5023768873041661, 2.761257629027939, 8.307101976653435, 0.25314502867978383, 2.256074378563713, 4.541651433330428, -0.17347180495418923, -11.84551730251556, -10.815943673383746, -7.846331635112202, -12.431892432427198, -3.5813761422066284, 7.280891980140116, -11.477055118112512, -14.26266899694184, -9.776820321702504, -12.261082930537409, -17.229335766677988, 7.663284141146473, 1.9911492109059443, 3.852367312731817, 4.65596149517347, -5.547337103344902, 1.346146857361341, -0.12148472776430408, -14.473595299368885, -5.56907740041654, 4.112976548726514, -11.345960956965346, 9.591371937877014
16, 19.322433883662622, 633.9302605742375, 6.250738849903897, -13.631454755976723, 1.6162612387352746, -11.441447560126612, -15.986181947359606, -0.10742619307106205, -6.7974758320147775, -7.975698685852773, 0.7950073791733878, -6.183434649013973, -4.9893999372627444, -5.347363480340311, -24.053527949681822, -4.959211472755268, -8.38043432390773, -6.42045658545254, 12.480269636130835, -6.005738622513269, -7.964875519244341, -3.3250609508358644, 5.186861320490943, 2.6864317574964836, 9.786599845987883, 7.578591401221768, 0.6310609265331557, -2.5162388719411597, 2.25841719324724, -7.792995654890247, -1.0667005480577993, 1.9482714326814587, -6.232433051180898, 7.034982496625673, -6.232433051180896, 1.9482714326814587, -1.0667005480577971, -7.792995654890248, 2.2584171932472383, -2.516238871941161, 0.6310609265331588, 7.578591401221768, 9.786599845987878, 2.686431757496481, 5.186861320490939, -3.3250609508358675, -7.964875519244346, -6.00573862251327, 12.480269636130826, -6.420456585452542, -8.380434323907735, -4.959211472755272, -24.053527949681826, -5.347363480340311, -4.989399937262746, -6.1834346490139716, 0.7950073791733843, -7.975698685852773, -6.797475832014774, -0.1074261930710636, -15.986181947359608, -11.44144756012661, 1.6162612387352768, -13.631454755976723, 6.250738849903904
