sample, mag, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31
1, 9.046164052738112, 314.7727799955082, 1.1833302083343211, -0.7206805601293784, -0.7648546174160707, 1.2889754339263604, -0.6640549612131326, -5.731911484767937, -2.7533818392386555, 0.8776686535109519, 0.29382007174896074, 1.6396221032645788, 0.3422126521446588, -4.4711831861319595, -0.2699018712574395, -1.2901660952474079, 0.5893601360593532, -1.9326258727070922, 0.5893601360593529, -1.290166095247408, -0.2699018712574396, -4.4711831861319595, 0.34221265214466107, 1.6396221032645792, 0.2938200717489605, 0.8776686535109519, -2.753381839238656, -5.731911484767936, -0.6640549612131305, 1.2889754339263604, -0.7648546174160713, -0.7206805601293786, 1.1833302083343207
2, 9.647073732214837, 314.69588581668455, 1.2737192110370943, -0.9257552017691664, 0.5969950683166098, 1.1468418968646243, -3.01434081950657, -1.445820624398749, 0.19236361626000098, -0.4350274003863746, 1.312752241235182, -0.11080465044976961, -4.330072137044476, 3.1250265030751105, 0.7801548669526372, 1.3231147628486406, -0.6744942202958966, 2.0095200515307283, -0.6744942202958966, 1.3231147628486406, 0.7801548669526374, 3.1250265030751097, -4.330072137044477, -0.11080465044976973, 1.3127522412351817, -0.4350274003863745, 0.19236361626000087, -1.4458206243987504, -3.01434081950657, 1.146841896864624, 0.5969950683166094, -0.9257552017691667, 1.2737192110370934
3, 10.077311540933511, 314.5199997959715, 1.219547657449221, -1.0754953216994423, 1.6882714307874467, 0.2854279113787629, -2.706123960463223, 4.634913799221742, 2.871018917323932, -0.8007744746873158, -0.6948227474462199, -1.410613050417178, 4.643716936530387, 0.25299269949353, -0.8043101979893094, -0.9152395284560748, 0.9831084688748866, -1.8336340308176773, 0.9831084688748868, -0.9152395284560743, -0.8043101979893093, 0.25299269949353087, 4.643716936530387, -1.4106130504171783, -0.6948227474462199, -0.8007744746873158, 2.8710189173239318, 4.634913799221742, -2.706123960463223, 0.28542791137876333, 1.6882714307874465, -1.075495321699442, 1.2195476574492208
4, 6.264001513272582, 314.31513624800016, 1.0934684396873506, -1.0748842465056647, 2.2160459216263857, -0.7121602567883591, 0.06952691254700105, 5.0907182022126385, 1.0637715191002122, 0.6109134210994541, -0.8257929378921824, 1.4447250446122857, -0.5400475541692996, -3.162065785178675, 0.9035879455534198, 0.7331826321645198, -0.8771292372740258, 2.03849757878902, -0.8771292372740258, 0.7331826321645193, 0.90358794555342, -3.162065785178676, -0.5400475541692984, 1.4447250446122857, -0.8257929378921821, 0.6109134210994539, 1.0637715191002128, 5.0907182022126385, 0.06952691254700094, -0.7121602567883589, 2.2160459216263857, -1.074884246505665, 1.0934684396873509
5, 10.043762087321246, 310.3159704528859, -2.792091554756328, -4.40051566588529, -1.1234430294146849, -3.915548309955195, 0.7664242017686768, -2.0641977146694233, -3.0312908556915974, 1.0056380226586727, 2.0020932585263793, 2.0401464136678644, -1.6169672248603497, 7.25154441980804, 2.8317467416168305, 3.4601056467536404, 4.864628914695995, 1.9606682163252458, 4.864628914695994, 3.4601056467536395, 2.83174674161683, 7.251544419808038, -1.6169672248603542, 2.0401464136678635, 2.002093258526377, 1.0056380226586723, -3.0312908556915996, -2.0641977146694233, 0.7664242017686732, -3.915548309955197, -1.1234430294146853, -4.400515665885291, -2.7920915547563285
6, 17.330463715657327, 310.27119550277786, -2.6151018534562005, -3.098409330767505, -0.12232661714217374, -0.8577561430117535, 4.75636819783927, -2.688555571749434, 1.7439080982563853, 3.3882523740148116, 4.052515855416827, 1.0101149178738176, 6.3607666945499926, -3.062340215501822, -1.5762158708142244, -3.0860917518010345, -4.622103223930484, -1.9158932662172106, -4.622103223930482, -3.0860917518010345, -1.576215870814223, -3.0623402155018207, 6.360766694549993, 1.010114917873818, 4.052515855416829, 3.3882523740148116, 1.7439080982563835, -2.6885555717494345, 4.756368197839269, -0.8577561430117542, -0.12232661714217419, -3.098409330767506, -2.615101853456201
7, 12.408998414290583, 317.9916169260566, 5.279235386075872, 5.8529160232460855, 7.384092057289639, 8.206435231425516, 8.852580253481072, 3.005718685740055, 5.262684492278066, -0.9608630725506238, -5.044711056403469, -5.722957320835368, -9.695199423521048, -8.335128746355082, -6.585116401112606, -4.845716022092749, -3.325348041978858, -5.804528157061554, -3.325348041978859, -4.845716022092749, -6.5851164011126055, -8.335128746355082, -9.695199423521043, -5.722957320835368, -5.0447110564034645, -0.9608630725506224, 5.26268449227807, 3.0057186857400544, 8.852580253481078, 8.206435231425516, 7.38409205728964, 5.8529160232460855, 5.279235386075872
8, 11.875241360138041, 320.6867299385232, 7.8936003187220125, 8.68272629628026, 6.9221060856123655, 6.64871940993055, -1.1430049082654112, -1.7000132665410368, -6.885141431527576, -11.10867379729359, -10.33037913522342, -5.38174953774273, -4.805784276384793, 5.22383822226503, 2.565538237948773, 1.8294262848465488, 0.781259452582407, 3.1094151445950047, 0.7812594525824084, 1.8294262848465497, 2.565538237948771, 5.22383822226503, -4.805784276384797, -5.38174953774273, -10.33037913522342, -11.10867379729359, -6.885141431527575, -1.7000132665410361, -1.1430049082654055, 6.64871940993055, 6.922106085612369, 8.682726296280261, 7.893600318722013
9, 7.7707344226964, 322.49381251761315, 9.281865599479733, 9.16508379572803, 2.934370908320842, -0.22103873611644542, -11.81377098285208, -6.310424958085534, -10.291702100486846, -1.7342499399159543, 6.027767705751339, 6.455316514900712, 11.336026502049837, -3.0254074735202874, -1.8788650308978736, -2.8992626003685795, -2.674620507069737, -4.916497723685012, -2.674620507069735, -2.899262600368579, -1.8788650308978718, -3.0254074735202847, 11.336026502049844, 6.455316514900712, 6.027767705751339, -1.7342499399159557, -10.291702100486846, -6.310424958085532, -11.813770982852073, -0.2210387361164423, 2.9343709083208456, 9.165083795728032, 9.281865599479737
10, 4.299240923357718, 320.068312809442, 6.127457000093009, 4.204188253386243, -5.866237483708611, -10.483485258860075, -15.138372104448933, -5.865058031357443, 0.589244379564339, 9.301591218203583, 6.644569789743653, -0.43781984967431775, -8.249680635168012, -1.0372612291839056, 0.7685468425731732, 3.961499424266853, 5.037009227721448, 7.341997431856186, 5.037009227721447, 3.961499424266853, 0.7685468425731705, -1.0372612291839092, -8.249680635168012, -0.43781984967431775, 6.644569789743653, 9.301591218203583, 0.5892443795643354, -5.865058031357445, -15.138372104448933, -10.483485258860075, -5.866237483708607, 4.204188253386244, 6.1274570000930115
