sample, mag, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
1, 9.582957278842837, 157.11888816512527, 1.2211278515292951, -0.3173048209610317, -2.2641361530179163, -0.4183812944745995, 0.9437768006326016, -0.48987214830062226, -0.27543617072670057, -4.951428369392815, -0.2754361707267009, -0.48987214830062237, 0.9437768006326015, -0.4183812944745995, -2.2641361530179163, -0.317304820961032, 1.221127851529295
2, 11.37812308318927, 157.39140744864972, 1.8825837842678987, 1.5197372788936687, -0.24989829366582583, -0.19943768233394366, 0.11557733566901873, 0.5142913980052304, 0.6979920450852743, 4.6789090858683835, 0.6979920450852746, 0.5142913980052303, 0.11557733566901884, -0.19943768233394366, -0.24989829366582594, 1.5197372788936685, 1.882583784267899
3, 10.410597711841717, 158.10503001519146, 2.6442154011578576, 2.6986259645014097, 2.073444529146423, 0.14586201095016801, -1.577846680369267, -1.014572361304026, -1.9461055245837615, -5.3925316524101135, -1.946105524583761, -1.0145723613040256, -1.5778466803692668, 0.14586201095016807, 2.073444529146423, 2.69862596450141, 2.644215401157858
4, 8.300467594855219, 158.593143661922, 2.740624834305894, 1.928222062927531, 1.3100144713039252, -0.5141848842077792, 0.19163865885332487, -0.1382404407747585, 1.7333613051593746, 4.904418005679574, 1.7333613051593746, -0.1382404407747585, 0.19163865885332476, -0.5141848842077792, 1.3100144713039255, 1.9282220629275315, 2.740624834305895
5, 8.81191255485899, 155.76858415160618, -0.677867386414573, -2.457087002182069, -2.6398286355510208, -0.6339756576807003, 2.0239712824781835, 2.7192254043948605, 0.8647105332265228, -2.0798584953637658, 0.8647105332265226, 2.7192254043948605, 2.023971282478183, -0.6339756576807007, -2.639828635551021, -2.457087002182069, -0.6778673864145728
6, 8.901100371644931, 155.0750577856661, -1.8093357468697158, -3.0689055113161245, -0.7712933773583686, 3.3387443945235944, 1.3492413468418751, -0.39236829866622025, 0.13415629351558644, 2.773384861303839, 0.13415629351558678, -0.3923682986662198, 1.3492413468418754, 3.3387443945235944, -0.7712933773583688, -3.0689055113161245, -1.8093357468697158
7, 13.842442329052082, 154.2631006042916, -2.7219733967407445, -1.7636148566057088, 2.4323100463732708, 1.3275020236207593, -2.052386974832931, -0.8966660400527395, 0.33107794638775245, -1.961427679929315, 0.33107794638775245, -0.8966660400527402, -2.052386974832931, 1.3275020236207598, 2.43231004637327, -1.7636148566057095, -2.7219733967407445
8, 9.237443584446556, 159.00465728205234, 1.9723690764915904, 4.739521523901138, 5.2593752571764005, -2.526787213149078, -0.7809703655255094, -0.8803841254222744, -4.314578555633452, -2.780128997831426, -4.314578555633451, -0.8803841254222735, -0.7809703655255076, -2.526787213149077, 5.259375257176402, 4.739521523901138, 1.9723690764915913
9, 12.784121167693874, 158.04449964900522, 0.7378095744808508, 3.0458198237695333, -3.5159515917354236, -6.069058701381493, -1.7240044441923539, -1.9209054941022063, 3.786736998931929, 3.740286630878529, 3.7867369989319277, -1.9209054941022068, -1.7240044441923548, -6.069058701381493, -3.5159515917354227, 3.0458198237695333, 0.7378095744808513
10, 9.957497483251638, 161.424515903485, 3.473810723132287, 2.9181082265290788, -5.696734248724807, 3.486944846196181, 1.7671476530908887, 2.167079946202298, -4.8449692650216285, -7.1203028853583135, -4.844969265021627, 2.1670799462022994, 1.7671476530908898, 3.486944846196181, -5.696734248724806, 2.91810822652908, 3.473810723132288
11, 16.754274747566637, 161.32907658792817, 2.212764994639837, -2.366493635041422, -4.26067933875176, 2.689042446901709, -2.972005024189043, -4.456338823821597, 1.8737570560275834, 7.21574220091513, 1.873757056027582, -4.456338823821598, -2.972005024189042, 2.689042446901709, -4.2606793387517605, -2.3664936350414205, 2.2127649946398376
12, 10.325837298556543, 168.45929420172143, 7.297747285769981, -1.1275710788684643, 5.25980692711696, -3.3915055306393644, -2.12565032016459, -0.8112510535161949, -5.109305121081597, -14.345959814708394, -5.109305121081595, -0.8112510535161938, -2.125650320164589, -3.3915055306393636, 5.25980692711696, -1.127571078868463, 7.297747285769983
13, 12.49744904060592, 169.15401421251258, 4.783333691888209, -5.867109060370885, 1.422001500114347, -9.819260060694972, -2.797168106809411, -2.01783777825601, -0.20504741517202119, 13.651239803917264, -0.20504741517202252, -2.017837778256011, -2.797168106809412, -9.819260060694972, 1.4220015001143478, -5.867109060370884, 4.7833336918882114
14, 8.020385581571649, 172.03877078075422, 3.511148443329176, -5.824663205545142, -3.7622255630515156, 2.6967855198482273, 2.467841548332975, 0.9303536639273977, 2.1282957807580503, -16.535996372158905, 2.128295780758053, 0.9303536639273977, 2.4678415483329754, 2.6967855198482265, -3.7622255630515142, -5.824663205545142, 3.5111484433291795
15, 10.316523424287404, 170.07179093833878, -2.9975863125983904, -6.645829994437465, -7.938971449444958, 6.934503492453331, -1.2236620124422282, -0.7917727742860494, -4.795034557744699, 18.502976214574346, -4.7950345577446996, -0.7917727742860503, -1.223662012442229, 6.934503492453331, -7.938971449444958, -6.645829994437466, -2.997586312598389
16, 6.829062347883326, 170.7846856166317, -6.424357081093967, -1.1028872021060712, -0.07420729957319594, -0.7298056774327724, 0.1628756696308813, 1.6522693129084554, 8.040123830715656, -19.215870892867244, 8.040123830715658, 1.6522693129084554, 0.16287566963087974, -0.7298056774327715, -0.07420729957319794, -1.102887202106072, -6.424357081093966
17, 10.96495982694426, 167.95019560014862, -12.204699710564128, 2.368930165297702, 6.084568594425315, -7.647398170746229, 1.4708200620554446, -0.25349646315410324, -8.155344501320776, 22.050360909350317, -8.155344501320776, -0.2534964631541037, 1.4708200620554446, -7.647398170746229, 6.084568594425313, 2.3689301652977006, -12.204699710564128
